cnt,msgCnt,gpsSecond,latitude,longitude,elevation,latError,lonError,speedMS2,speedMPH,heading,fwdAccel,latAccess,vertAccel,yawRate
1271,119,52560,40.72553976,-74.53883749,51.6,0.05,0.05,0,45.782,259.19,0.13,0.24,0.67,-1.78
1272,120,52850,40.72553357,-74.53888021,51.5,0.05,0.05,0,46.011,258.96,0.18,0.15,0.67,-1.71
1273,121,53060,40.72552876,-74.53891214,51.5,0.05,0.05,0,45.723,258.67,-0.06,-0.07,0.18,-1.54
1274,122,53350,40.72552213,-74.53895468,51.4,0.05,0.05,0,45.751,258.15,0.12,-0.08,0.57,-1.89
1275,123,53570,40.72551682,-74.53898641,51.3,0.05,0.05,0,45.571,257.66,-0.22,0.1,0.31,-0.08
1276,124,53860,40.72550955,-74.53902885,51.2,0.05,0.05,0,45.051,256.87,0.77,-0.38,-0.55,-2.29
1277,125,54070,40.72550381,-74.5390604,51.1,0.05,0.05,0,46.086,256.23,0.27,-0.16,0.2,-1.61
1278,126,54360,40.72549572,-74.53910243,51,0.05,0.05,0,45.805,255.12,0.53,-0.39,0.19,-1.59
1279,127,54650,40.72548703,-74.53914401,50.9,0.05,0.05,0,45.665,254.04,-0.23,-0.43,0.74,-2.41
1280,0,54940,40.7254777,-74.53918559,50.9,0.05,0.05,0,45.677,252.9,0.42,0.32,0.2,-2.22
1281,1,55220,40.72546766,-74.53922688,50.8,0.05,0.05,0,45.697,251.76,0.41,-0.38,0.15,-2.45
1282,2,55510,40.72545696,-74.53926799,50.7,0.05,0.05,0,45.77,250.59,-0.27,-0.26,0.33,-2.97
1283,3,55730,40.72544841,-74.53929877,50.7,0.05,0.05,0,46.046,249.5,-0.11,-0.86,0.23,-2.46
1284,4,56020,40.72543623,-74.53933934,50.6,0.05,0.05,0,46.256,247.72,-0.08,-0.4,-0.04,-2.87
1285,5,56300,40.72542304,-74.53937953,50.5,0.05,0.05,0,46.279,245.95,0.06,-0.14,-0.6,-2.07
1286,6,56520,40.72541262,-74.53940938,50.4,0.05,0.05,0,46.226,244.74,0.6,-0.63,0.16,-1.83
1287,7,56740,40.72540176,-74.53943905,50.4,0.05,0.05,0,46.596,243.8,0.09,0.5,0.05,-2.12
1288,8,57020,40.72538667,-74.53947834,50.3,0.05,0.05,0,46.661,242.64,-0.05,-0.43,0.04,-1.9
1289,9,57310,40.72537083,-74.53951714,50.2,0.05,0.05,0,46.622,241.11,0.5,-0.23,0.41,-2.51
1290,10,57530,40.72535836,-74.53954595,50.2,0.05,0.05,0,46.663,240,0.17,0.5,-0.02,-2.05
1291,11,57740,40.72534544,-74.53957446,50.1,0.05,0.05,0,46.727,238.85,0.19,-0.57,0.74,-2.72
1292,12,58030,40.72532753,-74.53961179,50.1,0.05,0.05,0,46.7,236.91,0.25,-0.8,0.64,-2.44
1293,13,58320,40.72530864,-74.53964826,50,0.05,0.05,0,46.527,234.95,0.67,0.22,1,1.7
1294,14,58540,40.72529391,-74.53967494,50,0.05,0.05,0,46.389,233.33,0.14,-0.94,0.52,2.87
1295,15,58750,40.72527864,-74.5397009,49.9,0.05,0.05,0,46.217,231.61,0.48,0,1.12,-3.07
1296,16,58970,40.72526289,-74.539726,49.8,0.05,0.05,0,45.815,229.73,0.16,-1.05,0.78,-2.63
1297,17,59260,40.72524084,-74.53975823,49.8,0.05,0.05,0,45.498,227.08,0.08,-0.74,1.46,-2.82
1298,18,59470,40.72522383,-74.53978119,49.7,0.05,0.05,0,45.077,225.01,0.53,-0.65,0.52,-3.07
1299,19,59690,40.72520621,-74.53980342,49.7,0.05,0.05,0,44.905,223.15,0.36,-0.24,0.77,2.03
1300,20,59900,40.72518817,-74.53982462,49.6,0.05,0.05,0,44.543,221.35,0.25,-0.65,1.03,-2.72
1301,21,190,40.72516348,-74.5398517,49.6,0.05,0.05,0,44.285,219.01,0.18,0.21,0.42,-2.44
1302,22,410,40.72514452,-74.53987102,49.5,0.05,0.05,0,44.138,217.23,0.45,-0.48,1.63,1.98
1303,23,620,40.72512535,-74.53988961,49.4,0.05,0.05,0,43.949,215.49,0.26,0.47,1.57,-3.07
1304,24,840,40.72510581,-74.5399073,49.4,0.05,0.05,0,43.753,213.47,0.16,-1.29,0.86,3.09
1305,25,1060,40.72508583,-74.53992368,49.3,0.05,0.05,0,43.491,211.05,0.06,-0.65,1.09,2.7
1306,26,1270,40.72506542,-74.53993887,49.3,0.05,0.05,0,43.319,208.41,0.56,-0.74,1.72,2.9
1307,27,1490,40.72504458,-74.53995251,49.2,0.05,0.05,0,42.914,205.95,0.11,-0.58,1.23,2.87
1308,28,1700,40.72502345,-74.53996513,49.2,0.05,0.05,0,42.687,203.52,0.11,-0.58,1.23,-3.11
1309,29,1920,40.72500221,-74.53997654,49.1,0.05,0.05,0,42.425,201.06,0.14,-0.2,0.8,3.08
1310,30,2140,40.72498066,-74.53998654,49.1,0.05,0.05,0,42.083,198.56,0.1,0.01,0.1,-2.95
1311,31,2350,40.72495897,-74.5399951,49.1,0.05,0.05,0,41.93,196.23,-0.61,0.1,0.54,-3.08
1312,32,2570,40.72493708,-74.54000278,49,0.05,0.05,0,41.63,193.75,0.06,-0.25,0.62,2
1313,33,2780,40.72491512,-74.54000907,49,0.05,0.05,0,41.282,191.29,0.33,-0.14,0.58,3.03
1314,34,3000,40.72489309,-74.54001412,48.9,0.05,0.05,0,41.226,188.32,0.33,-0.94,0.69,-2.72
1315,35,3220,40.72487105,-74.54001705,48.9,0.05,0.05,0,40.857,184.94,0.19,-0.52,1.39,-2.71
1316,36,3430,40.72484927,-74.54001878,48.8,0.05,0.05,0,40.5,181.94,0.64,-0.41,0.75,-0.32
1317,37,3650,40.72482725,-74.54001863,48.8,0.05,0.05,0,40.303,179.34,-0.57,0.09,0.58,-2.2
1318,38,3860,40.72480554,-74.54001765,48.8,0.05,0.05,0,39.915,177.75,0.2,1.9,0.45,-1.56
1319,39,4080,40.72478411,-74.54001586,48.7,0.05,0.05,0,39.78,176.49,-0.17,1.05,0.74,-1.13
1320,40,4370,40.72475553,-74.54001267,48.7,0.05,0.05,0,39.275,175.13,-0.51,1.6,0.44,-1.43
1321,41,4660,40.72472724,-74.54000892,48.6,0.05,0.05,0,39.122,174.23,-0.6,1.31,0.34,-0.51
1322,42,4870,40.72470617,-74.54000581,48.6,0.05,0.05,0,39.052,173.86,-0.03,1.48,0.66,-1.49
1323,43,5160,40.72467829,-74.54000161,48.4,0.05,0.05,0,38.92,173.67,-0.21,1.48,0.98,-1.49
1324,44,5380,40.72465745,-74.53999833,48.3,0.05,0.05,0,38.597,173.42,-0.65,1.81,-0.24,-0.01
1325,45,5590,40.72463664,-74.53999479,48.2,0.05,0.05,0,38.212,173.25,0.14,1.52,1.42,-0.24
1326,46,5810,40.72461643,-74.53999158,48.1,0.05,0.05,0,37.411,173.33,0.34,1.69,1.33,0.08
1327,47,6020,40.72459667,-74.53998844,48.1,0.05,0.05,0,36.381,173.48,0.11,1.56,1.31,0.36
1328,48,6310,40.72457119,-74.53998445,47.9,0.05,0.05,0,34.752,173.66,0.52,1.52,1.71,0.44
1329,49,6530,40.72455299,-74.53998165,47.8,0.05,0.05,0,33.133,173.78,0.15,1.92,1.89,0.78
1330,50,6740,40.72453587,-74.5399792,47.8,0.05,0.05,0,31.023,173.93,0.23,2,1.81,0.48
